site_name,posa_continent,user_location_country,user_location_region,user_location_city,orig_destination_distance,user_id,is_mobile,is_package,channel,srch_adults_cnt,srch_children_cnt,srch_rm_cnt,srch_destination_id,srch_destination_type_id,is_booking,cnt,hotel_continent,hotel_country,hotel_market,hotel_cluster,duration,date_time_year,date_time_month,date_time_day,srch_ci_year,srch_ci_month,srch_ci_day,srch_co_year,srch_co_month,srch_co_day
2,3,66,174,24103,2323.5232,802499,0,1,9,2,0,1,1442,3,0,1,4,125,177,44,0,2014,5,22,2014,7,24,2014,7,24
2,3,66,311,25538,2288.6121,85229,0,0,9,3,1,1,8272,1,0,1,2,50,659,59,4,2013,6,29,2013,7,5,2013,7,9
2,3,66,294,40046,587.697,755217,0,1,9,2,0,1,11321,1,0,1,2,50,642,22,3,2014,10,30,2014,12,19,2014,12,22
2,3,66,332,55121,2234.4394,160733,0,1,9,2,0,1,1152,1,1,1,4,47,1502,65,7,2014,8,22,2015,1,23,2015,1,30
2,3,66,314,47869,839.0087,1078493,0,0,9,4,0,1,8284,1,0,4,2,50,685,6,3,2014,3,25,2014,4,17,2014,4,20
2,3,66,363,12346,324.7167,380701,0,0,1,2,0,1,11547,1,0,1,2,50,554,17,6,2014,7,16,2014,8,5,2014,8,11
2,3,66,184,26602,1083.5739,786061,0,0,3,5,1,1,1901,1,0,4,2,198,401,73,1,2014,7,30,2014,8,5,2014,8,6
2,3,66,442,12416,21.6332,77941,0,0,9,2,0,1,8243,1,0,1,2,50,409,25,2,2014,5,23,2014,5,24,2014,5,26
2,3,66,314,18442,857.4224,397526,0,0,0,2,0,1,49086,6,0,1,2,50,685,25,3,2013,2,11,2013,2,19,2013,2,22
34,3,205,135,27655,234.6637,1194667,0,0,5,4,1,2,26466,6,1,1,2,198,1625,63,1,2013,12,13,2014,1,1,2014,1,2
2,3,66,174,30495,1706.6229,546215,0,0,8,2,0,1,8230,1,0,1,2,50,637,95,3,2013,9,4,2013,10,18,2013,10,21
2,3,66,356,22202,317.2187,43267,0,0,9,2,0,1,8854,1,0,1,2,198,402,74,4,2014,8,7,2014,9,1,2014,9,5
11,3,205,354,21728,426.4547,16139,0,0,1,2,0,1,8219,1,0,1,2,50,688,15,2,2013,6,17,2013,8,12,2013,8,14
2,3,66,322,28974,202.1532,507395,0,0,9,2,0,1,8283,1,0,1,2,50,414,18,2,2014,11,21,2014,11,27,2014,11,29
23,1,1,318,2096,5020.3703,1023870,0,1,9,2,0,1,22582,1,0,1,4,196,2030,75,0,2014,9,24,2014,11,4,2014,11,4
2,3,66,448,31350,399.7308,381655,0,0,9,2,0,1,8267,1,0,4,2,50,675,70,3,2014,9,16,2014,10,16,2014,10,19
2,3,66,174,43471,62.2107,946627,0,0,9,2,0,1,35991,6,0,1,2,50,368,69,1,2013,10,15,2013,11,16,2013,11,17
2,3,66,220,33119,4414.8675,1151418,1,0,2,2,0,1,8163,6,0,1,4,124,1939,61,11,2014,8,14,2014,9,2,2014,9,13
2,3,66,442,35390,1640.3574,1120948,0,0,9,2,0,1,8279,1,0,1,2,50,1230,70,4,2014,7,22,2014,8,14,2014,8,18
34,3,205,330,17660,239.2977,974581,0,0,9,2,0,1,9524,1,0,1,2,50,561,32,1,2014,11,30,2014,12,13,2014,12,14
13,1,46,157,34868,612.4875,1160376,0,0,9,2,0,1,8740,1,1,1,6,105,12,8,3,2014,2,10,2014,6,20,2014,6,23
2,3,66,174,42837,2447.976,27856,0,0,0,1,0,1,26228,6,0,1,2,198,384,51,5,2014,9,12,2014,10,16,2014,10,21
11,3,205,155,6802,122.836,480975,0,0,5,2,2,1,8281,1,0,1,2,50,663,70,2,2014,11,12,2014,11,20,2014,11,22
2,3,66,346,31371,6120.1113,1047669,1,1,9,2,0,1,8746,1,0,1,6,105,29,22,13,2014,12,23,2015,2,1,2015,2,14
2,3,66,174,13277,1752.2148,37907,1,1,9,2,0,1,8230,1,0,1,2,50,637,19,3,2014,6,4,2014,10,2,2014,10,5
2,3,66,314,18942,1374.0208,911208,0,0,3,6,3,3,8791,1,0,8,4,8,110,71,5,2014,9,11,2014,12,9,2014,12,14
2,3,66,442,76,1526.1564,932508,0,1,2,2,0,1,8864,1,0,1,4,47,1508,65,5,2014,12,10,2015,1,14,2015,1,19
2,3,66,294,3688,1172.3778,1121211,0,0,9,1,0,1,8267,1,0,1,2,50,675,21,2,2014,7,16,2014,7,18,2014,7,20
2,3,66,462,9335,4956.6641,339741,0,1,9,1,0,1,8745,1,0,2,6,204,27,99,4,2014,11,10,2014,11,11,2014,11,15
2,3,66,348,48862,2367.464,1147439,0,0,9,2,0,1,9147,1,0,1,2,50,367,10,2,2013,12,19,2014,3,8,2014,3,10
2,3,66,363,12346,2519.187,723667,0,0,9,2,0,1,8279,1,0,1,2,50,1230,70,1,2014,8,25,2014,9,13,2014,9,14
2,3,66,174,5938,259.3237,411501,0,0,9,2,0,1,12206,6,0,1,2,50,628,24,3,2013,6,20,2013,7,28,2013,7,31
2,3,66,392,7463,1182.5316,847153,0,0,9,2,0,1,12495,5,0,1,2,50,699,16,2,2014,2,6,2014,2,11,2014,2,13
2,3,66,220,2086,81.6951,539597,0,0,2,2,0,1,14984,1,0,1,2,50,1457,26,1,2014,11,25,2014,12,5,2014,12,6
2,3,66,174,23848,7523.3428,690298,0,0,9,2,0,1,51578,1,0,1,3,99,1081,53,1,2013,9,19,2013,9,25,2013,9,26
2,3,66,174,6473,5608.8674,508737,0,0,9,1,0,1,21905,6,0,6,6,135,1557,29,4,2013,3,7,2013,3,11,2013,3,15
2,3,66,348,48862,958.4534,878568,0,0,9,2,2,1,17520,3,0,1,2,50,682,0,2,2013,11,5,2013,11,6,2013,11,8
2,3,66,351,36508,6550.8049,38419,0,0,0,2,0,1,8747,1,0,1,3,106,107,83,5,2014,4,6,2014,4,14,2014,4,19
2,3,66,220,1330,720.7508,436978,0,0,1,2,0,1,8864,1,0,2,4,47,1508,65,6,2014,5,26,2014,6,8,2014,6,14
11,3,205,385,46963,2244.6227,663792,0,1,0,2,0,1,8250,1,0,1,2,50,628,1,4,2014,9,24,2014,11,21,2014,11,25
2,3,66,442,28620,8703.567,1196568,0,0,3,2,0,1,41330,1,0,1,3,104,42,57,1,2014,8,26,2014,10,12,2014,10,13
2,3,66,337,6988,943.0843,1134956,0,0,2,2,0,1,12654,5,1,1,2,50,682,71,1,2013,3,12,2013,3,20,2013,3,21
2,3,66,174,54799,46.7788,533870,0,0,0,2,0,1,12175,6,0,1,2,50,366,77,1,2014,10,10,2014,11,8,2014,11,9
2,3,66,314,24212,1413.5957,894745,0,0,9,1,0,1,28437,6,0,1,4,47,1511,3,5,2014,7,5,2015,4,1,2015,4,6
23,1,1,313,44222,922.1465,1001582,0,0,3,2,0,1,1407,1,0,1,6,208,1419,67,7,2014,7,23,2014,8,23,2014,8,30
11,3,205,354,25315,6437.6353,457470,1,1,9,1,0,1,8747,1,0,4,3,106,107,42,7,2014,12,30,2015,2,17,2015,2,24
34,3,205,155,22169,2906.7433,29030,0,1,9,2,0,1,48752,4,0,1,4,8,110,66,7,2014,12,5,2015,1,15,2015,1,22
2,3,66,311,55592,1133.6679,184116,0,1,9,2,0,1,8268,1,0,1,2,50,682,16,6,2013,10,9,2013,12,4,2013,12,10
2,3,66,220,22709,275.0027,460414,0,0,0,2,0,1,26120,4,0,1,2,50,680,13,2,2014,7,8,2014,11,29,2014,12,1
2,3,66,174,16634,8.3841,966256,0,0,9,2,2,1,61532,6,0,1,2,50,827,77,1,2014,3,3,2014,3,4,2014,3,5
2,3,66,174,26232,598.9588,490221,0,0,9,3,0,1,8276,1,0,1,2,50,661,23,1,2014,8,12,2014,8,17,2014,8,18
2,3,66,314,43382,444.3162,301542,0,0,9,2,0,1,12012,1,0,4,2,50,482,47,2,2014,5,7,2014,5,16,2014,5,18
2,3,66,258,16835,1501.3152,197126,0,0,9,2,0,2,8250,1,0,1,2,50,628,24,4,2014,4,12,2014,5,1,2014,5,5
23,1,1,177,38608,132.2266,240478,0,0,5,2,2,1,21078,1,0,1,6,105,1857,89,1,2014,8,19,2014,8,20,2014,8,21
10,0,182,416,7309,4817.0742,683032,0,0,5,1,1,1,12233,6,0,4,2,50,675,33,11,2013,4,19,2013,4,22,2013,5,3
11,3,205,155,26065,4924.4498,640523,0,0,2,2,1,1,12245,6,0,1,6,204,27,89,5,2013,3,13,2013,8,31,2013,9,5
2,3,66,337,52797,1052.5153,768746,0,1,9,1,1,1,11854,1,0,3,2,50,700,48,3,2014,9,28,2014,12,26,2014,12,29
2,3,66,467,36345,964.9043,426156,0,0,1,2,0,1,9524,1,0,1,2,50,561,94,1,2014,10,9,2014,10,15,2014,10,16
2,3,66,346,31371,5889.191999999999,266661,0,0,9,1,0,7,47322,6,0,1,6,15,150,61,2,2014,9,29,2015,6,20,2015,6,22
2,3,66,226,13982,756.6003,722680,0,0,9,2,0,1,8267,1,0,1,2,50,675,41,2,2014,6,10,2014,6,27,2014,6,29
2,3,66,254,52284,1020.709,133043,1,1,9,2,1,1,8268,1,0,1,2,50,682,71,5,2014,1,27,2014,2,26,2014,3,3
2,3,66,348,4873,122.3056,1091855,0,0,9,2,1,1,11569,1,0,1,2,50,623,39,2,2014,11,7,2014,11,21,2014,11,23
13,1,46,347,38786,611.3314,241627,0,0,9,3,0,1,8290,1,1,1,6,15,38,85,1,2014,11,25,2015,5,27,2015,5,28
11,3,205,135,13892,1131.6669,1117692,1,1,9,2,0,1,8250,1,0,2,2,50,628,49,7,2014,9,6,2015,1,1,2015,1,8
2,3,66,220,33119,2320.8187,253018,1,0,0,3,2,1,29351,4,0,1,2,50,366,83,3,2014,3,24,2014,3,27,2014,3,30
2,3,66,174,16634,5657.3338,695869,0,0,3,1,0,1,8282,1,0,1,3,126,232,12,8,2014,7,10,2014,9,12,2014,9,20
2,3,66,174,24647,2035.0597,898755,0,0,3,2,2,1,547,1,0,1,4,25,1530,62,2,2014,9,28,2014,10,19,2014,10,21
2,3,66,174,48479,29.5507,761706,1,0,0,1,1,1,12269,6,0,1,2,50,1230,70,1,2014,8,13,2014,8,30,2014,8,31
2,3,66,448,24848,352.9046,192058,0,0,9,2,0,1,8287,1,0,2,2,198,960,50,2,2014,7,15,2014,8,1,2014,8,3
2,3,66,356,22202,6.2418,1140713,0,0,9,2,0,1,8273,1,0,1,2,50,660,48,2,2014,4,16,2014,4,17,2014,4,19
2,3,66,363,44999,9757.6814,282488,1,0,0,2,0,1,8184,6,0,3,0,63,1258,98,3,2014,11,26,2015,1,14,2015,1,17
11,3,205,354,16084,4285.6486,569451,0,0,7,4,4,2,8289,1,0,1,6,107,36,29,2,2014,9,11,2014,12,19,2014,12,21
2,3,66,174,10542,2568.41,647633,0,0,3,2,0,1,8267,1,0,1,2,50,675,56,6,2014,9,3,2014,11,12,2014,11,18
2,3,66,143,4576,390.3957,17255,0,0,9,1,0,1,11907,1,0,2,2,50,714,50,3,2014,5,29,2014,6,10,2014,6,13
2,3,66,331,28112,2400.7968,945720,0,0,0,1,0,1,8279,1,0,1,2,50,1230,18,3,2013,10,10,2013,10,22,2013,10,25
13,1,46,171,38441,5971.916,1193075,0,0,1,1,0,1,12264,6,0,1,2,50,368,55,7,2014,12,23,2015,3,19,2015,3,26
11,3,205,343,37594,592.8388,273108,0,1,5,2,0,1,8267,1,0,1,2,50,675,56,4,2014,10,6,2015,3,18,2015,3,22
2,3,66,448,24848,4833.2971,615180,0,0,3,1,0,1,669,3,0,1,2,50,212,9,8,2013,1,22,2013,3,26,2013,4,3
2,3,66,174,24103,5707.7691,746711,0,0,9,2,1,1,8821,1,0,1,6,17,30,78,4,2013,6,18,2013,7,17,2013,7,21
2,3,66,442,76,1449.6471,1105977,1,0,9,1,0,1,4196,3,1,1,2,50,360,48,2,2013,9,21,2013,9,22,2013,9,24
23,1,1,318,2096,4017.8027,330943,1,0,0,2,0,1,12233,6,0,2,2,50,675,70,6,2014,10,19,2014,11,30,2014,12,6
26,0,215,646,51733,705.9267,94831,0,0,9,1,2,1,12262,6,1,1,2,50,412,47,1,2014,11,21,2015,1,16,2015,1,17
2,3,66,363,54089,2007.371,1062262,0,1,9,1,0,1,11334,1,0,1,4,96,201,90,9,2014,7,18,2014,8,15,2014,8,24
34,3,205,354,28561,4683.9019,564981,0,0,9,2,2,2,20001,6,0,1,6,105,772,38,1,2014,5,19,2014,7,18,2014,7,19
2,3,66,311,43837,383.096,470033,0,0,9,4,0,2,25670,1,0,3,2,50,191,59,1,2014,12,24,2014,12,24,2014,12,25
2,3,66,174,36330,5798.5917,1129025,0,0,9,1,0,1,22786,6,1,1,6,144,13,90,1,2014,4,5,2014,6,16,2014,6,17
2,3,66,356,28014,122.006,529923,1,0,9,2,2,1,62092,4,0,1,2,50,660,59,2,2014,11,7,2014,11,8,2014,11,10
11,3,205,385,38184,1919.3202,80301,0,0,2,4,2,2,13925,6,0,2,4,8,126,65,6,2013,8,5,2013,9,29,2013,10,5
13,1,46,172,55743,172.9096,458307,0,0,9,2,0,1,8808,1,0,1,6,169,28,29,2,2014,11,20,2014,11,21,2014,11,23
2,3,66,311,2641,166.7554,916528,0,1,2,2,1,1,25616,6,0,1,2,50,887,17,3,2014,8,27,2015,2,18,2015,2,21
2,3,66,348,48862,81.6605,1028849,0,0,9,2,0,1,8271,1,0,1,2,50,696,5,1,2014,5,22,2014,5,24,2014,5,25
13,1,46,171,407,5704.0782,151389,0,0,9,2,0,1,8250,1,0,1,2,50,628,1,3,2014,2,11,2014,3,18,2014,3,21
8,4,77,977,53780,5567.4209,619990,0,0,0,1,1,1,12568,5,0,1,2,50,636,4,2,2013,9,16,2014,7,5,2014,7,7
2,3,66,462,14703,678.0389,887398,0,0,1,1,0,1,8798,1,0,1,2,198,374,18,3,2014,6,24,2014,7,7,2014,7,10
2,3,66,462,52482,679.6854,97166,0,1,7,2,0,1,8279,1,0,2,2,50,1230,98,2,2014,2,28,2014,4,17,2014,4,19
2,3,66,462,16353,7480.6004,443396,0,0,9,2,0,1,5497,1,0,2,3,182,79,12,6,2014,7,11,2014,9,13,2014,9,19
34,3,205,354,53713,1836.8399,777135,0,0,9,2,0,1,11439,1,0,2,4,163,1503,52,7,2014,7,18,2014,8,27,2014,9,3
2,3,215,919,47041,549.6568,633721,0,1,2,2,1,1,8254,1,0,5,2,50,365,68,3,2013,7,9,2013,7,13,2013,7,16
2,3,66,226,20170,907.2823,455391,1,1,1,2,0,1,8791,1,0,1,4,8,110,66,3,2013,1,28,2013,4,5,2013,4,8
2,3,66,174,1112,462.01300000000003,1156102,0,0,1,2,2,1,8278,1,0,1,2,50,368,55,7,2014,8,4,2014,8,19,2014,8,26
2,3,66,448,43067,926.7896,1182256,1,0,0,1,0,1,12691,5,0,2,2,50,646,50,2,2014,10,1,2014,10,1,2014,10,3
2,3,66,337,26644,6748.0608,819148,0,0,0,2,0,1,8504,6,0,1,3,106,107,98,1,2014,8,25,2014,9,23,2014,9,24
2,3,66,226,42300,585.771,614573,0,0,2,1,0,1,11353,1,1,2,2,50,699,76,3,2013,5,17,2013,7,29,2013,8,1
2,3,66,226,17681,601.8919,495253,0,0,9,2,0,1,11353,1,0,1,2,50,699,50,1,2014,9,14,2014,9,18,2014,9,19
2,3,66,226,37619,3365.4608,367707,0,1,3,4,0,1,22863,1,0,1,4,93,2085,62,1,2014,7,4,2014,12,30,2014,12,31
34,3,205,354,53713,90.9484,1014512,0,0,9,2,0,1,1891,1,0,1,2,198,380,55,2,2014,3,14,2014,3,14,2014,3,16
